kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
100,89.6369460148987,2,Ridge,0.021663130704651763,1.0,0.2,0.4054697366900328
100,58.63980576314955,3,EN_Fixed,2.3390743574330494e-11,1.0,1.0,8.85096327867468e-06
100,58.63980576314955,3,EN_Dynamic,0.2421837067154699,1.0,0.5,0.900618753393605
100,58.63980576314955,3,OMP,6.047420025375921e-32,1.0,1.0,4.500425655742792e-16
100,58.63980576314955,3,Lasso,2.391928513580581e-11,1.0,1.0,8.950403673648106e-06
100,58.63980576314955,3,Ridge,0.03644731569612773,1.0,0.2,0.34938262159133743
100,70.77395344072832,4,EN_Fixed,8.071574603894047e-10,1.0,0.6666666666666666,2.5347670978309694e-05
100,70.77395344072832,4,EN_Dynamic,1.0823970102857192,1.0,0.4,0.9282227760113472
100,70.77395344072832,4,OMP,7.642024353496596e-32,1.0,1.0,2.466397873451122e-16
100,70.77395344072832,4,Lasso,7.369383326216234e-10,1.0,0.6666666666666666,2.4220020270627003e-05
100,70.77395344072832,4,Ridge,0.014144919599683137,1.0,0.2,0.10611069772258382
100,54.897812218209346,5,EN_Fixed,2.3471146210499935e-08,1.0,0.6666666666666666,0.00015061165253411825
100,54.897812218209346,5,EN_Dynamic,0.9856993405675226,0.5,1.0,0.9760311025847312
100,54.897812218209346,5,OMP,9.860761315262648e-32,1.0,1.0,3.0870712102808136e-16
100,54.897812218209346,5,Lasso,2.2933522829560714e-08,1.0,0.6666666666666666,0.00014887672627119812
100,54.897812218209346,5,Ridge,0.138538255373437,1.0,0.2,0.36591168748336406
100,60.73089256507255,6,EN_Fixed,0.034855208329833035,1.0,0.2857142857142857,0.31120596535317663
100,60.73089256507255,6,EN_Dynamic,0.3231168464501951,0.5,1.0,0.9475319709095962
100,60.73089256507255,6,OMP,4.930380657631324e-33,1.0,1.0,1.1704538572971245e-16
100,60.73089256507255,6,Lasso,1.920279859604189e-09,1.0,0.6666666666666666,7.304598255251323e-05
100,60.73089256507255,6,Ridge,0.09043271217374656,1.0,0.2,0.5012759280906927
100,42.06478675983923,7,EN_Fixed,1.0114110134060217e-10,1.0,0.6666666666666666,1.0688857783248618e-05
100,42.06478675983923,7,EN_Dynamic,0.7878206208530264,1.0,0.5,0.9433679807615583
100,42.06478675983923,7,OMP,2.1060091898806623e-32,1.0,1.0,1.5424020384675241e-16
100,42.06478675983923,7,Lasso,9.063900690439684e-11,1.0,0.6666666666666666,1.0118707192256344e-05
100,42.06478675983923,7,Ridge,0.9331450545719443,1.0,0.2,1.0266963993143794
100,101.67854011911416,8,EN_Fixed,2.2801765264691698e-11,1.0,0.6666666666666666,6.181645712385634e-06
100,101.67854011911416,8,EN_Dynamic,0.508524031008031,1.0,0.5,0.9231571038880628
100,101.67854011911416,8,OMP,1.9721522630525296e-32,1.0,1.0,1.8179841674524806e-16
100,101.67854011911416,8,Lasso,2.0651135342996568e-11,1.0,0.6666666666666666,5.882905092124244e-06
100,101.67854011911416,8,Ridge,0.3187002762042774,1.0,0.2,0.730821130015838
100,61.423101092376825,9,EN_Fixed,1.010531847705943e-09,1.0,0.4,5.4839788677555305e-05
100,61.423101092376825,9,EN_Dynamic,0.3360148413284419,0.0,0.0,1.0
100,61.423101092376825,9,OMP,1.6023737137301803e-32,1.0,1.0,2.1837487829577623e-16
100,61.423101092376825,9,Lasso,6.594857164650235e-11,1.0,1.0,1.400952681658215e-05
100,61.423101092376825,9,Ridge,0.07141405953618715,1.0,0.2,0.461012425176658
100,85.83099217154611,10,EN_Fixed,2.20671462347794e-07,1.0,1.0,0.0003952117712716269
100,85.83099217154611,10,EN_Dynamic,1.212561573186212,1.0,0.4,0.9264216280981866
100,85.83099217154611,10,OMP,1.67632942359465e-30,1.0,1.0,1.0892723230658204e-15
100,85.83099217154611,10,Lasso,6.838268555068858e-11,1.0,0.6666666666666666,6.957125877067449e-06
100,85.83099217154611,10,Ridge,0.24738130522781057,1.0,0.2,0.4184467732455965
100,71.68618530762238,11,EN_Fixed,6.051005136096324e-11,1.0,1.0,1.3664062861357141e-05
100,71.68618530762238,11,EN_Dynamic,0.3240916328766993,0.0,0.0,1.0
100,71.68618530762238,11,OMP,0.0066113718625565865,0.5,0.25,0.14282751597367502
100,71.68618530762238,11,Lasso,6.125649629958217e-11,1.0,1.0,1.3748083680989517e-05
100,71.68618530762238,11,Ridge,0.08942954795152183,1.0,0.2,0.525299041403925
100,35.871531763707914,12,EN_Fixed,1.0735881402464655e-10,1.0,1.0,1.3874808645432179e-05
100,35.871531763707914,12,EN_Dynamic,0.46926147043595,1.0,1.0,0.9173088810185457
100,35.871531763707914,12,OMP,0.18250696772806058,0.5,0.25,0.5720682888169757
100,35.871531763707914,12,Lasso,1.1081525134095946e-10,1.0,1.0,1.4096390351286287e-05
100,35.871531763707914,12,Ridge,0.028167649044576592,1.0,0.2,0.2247415905376924
100,36.2822422504119,13,EN_Fixed,2.2285585402428226e-12,1.0,1.0,1.3747136030856632e-06
100,36.2822422504119,13,EN_Dynamic,0.9331858721946638,1.0,0.3333333333333333,0.8895785130759403
100,36.2822422504119,13,OMP,7.888609052210118e-32,1.0,1.0,2.5864281809479194e-16
100,36.2822422504119,13,Lasso,2.0179640985002823e-12,1.0,1.0,1.3081481293330542e-06
100,36.2822422504119,13,Ridge,0.002825085124348677,1.0,0.2,0.048945861385016685
100,44.19360563798118,14,EN_Fixed,2.337427945548464e-10,1.0,0.6666666666666666,2.0671392376697705e-05
100,44.19360563798118,14,EN_Dynamic,0.4985756735073184,0.5,0.5,0.9546983169940055
100,44.19360563798118,14,OMP,4.930380657631324e-33,1.0,1.0,9.493816650335024e-17
100,44.19360563798118,14,Lasso,2.1857820753173025e-10,1.0,0.6666666666666666,1.9989597282207953e-05
100,44.19360563798118,14,Ridge,0.03136163996478709,1.0,0.2,0.23944181565597542
100,56.93888433593666,15,EN_Fixed,2.0921363875516339e-10,1.0,0.5,2.3119849965019442e-05
100,56.93888433593666,15,EN_Dynamic,0.39139923291096124,0.0,0.0,1.0
100,56.93888433593666,15,OMP,4.164277484999884e-31,1.0,1.0,1.0314777050960024e-15
100,56.93888433593666,15,Lasso,5.292887253840912e-10,1.0,1.0,3.677361597226025e-05
100,56.93888433593666,15,Ridge,0.03558875616775941,1.0,0.2,0.3015410340048417
100,86.84002210142887,16,EN_Fixed,5.655903501466249e-10,1.0,0.5,2.4510338487381567e-05
