cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,hpp_l1,hpp_l2
30,8,Ridge,4,4,0.999999999975,0.9717871499143473,-0.1524045630959472,4.406771837486113,0.9693836299607965,,
30,8,Lasso,1,4,0.24999999999375,0.9989138436335472,-0.1839908740914653,4.52755725451985,0.9959535115722046,,
30,9,HPP_EN,3,4,0.74999999998125,0.9196445000034229,0.00580106143003889,7.4526633759673135,0.8184803432075527,0.005,0.001
30,9,EN_Fixed,3,4,0.74999999998125,0.976443420140192,-0.1505188276858882,8.62446055594143,0.9471716458534841,,
30,9,Ridge,3,4,0.74999999998125,0.9738080789481581,-0.1476382617431271,8.602867404439426,0.9448002023626528,,
30,9,Lasso,2,4,0.4999999999875,0.9660643897872591,-0.12803259703878989,8.455900420634677,0.9286597192526028,,
30,10,HPP_EN,4,4,0.999999999975,0.9402119749114202,-0.08909398734501717,11.229229582669559,0.8880049227215597,0.005,0.001
30,10,EN_Fixed,2,4,0.4999999999875,0.993960908810662,-0.20882661458698415,12.4637466908889,0.9856302550038962,,
30,10,Ridge,4,4,0.999999999975,0.9891033177215105,-0.20112238329885335,12.384311322685916,0.9793485241439881,,
30,10,Lasso,2,4,0.4999999999875,0.9884666859192606,-0.19332651950496094,12.303931166928885,0.9729920796990789,,
30,11,HPP_EN,4,4,0.999999999975,0.9452044486817568,-0.10069953148520638,6.566976883278445,0.9025411416901151,0.005,0.001
30,11,EN_Fixed,3,4,0.74999999998125,0.9789662565773283,-0.1823457604969152,7.054093378915799,0.9694886406569672,,
30,11,Ridge,4,4,0.999999999975,0.975748853514745,-0.17248297957355274,6.995250204665359,0.9614014512831333,,
30,11,Lasso,2,4,0.4999999999875,0.971462248313124,-0.20305202149518942,7.177630759849647,0.9864671637751693,,
30,12,HPP_EN,3,4,0.74999999998125,0.9194316596189153,0.09217257249040234,4.735761912957367,0.763057530256467,0.005,0.001
30,12,EN_Fixed,1,4,0.24999999999375,0.989581636903941,-0.11509764891679608,5.817005319452786,0.9372746759936902,,
30,12,Ridge,3,4,0.74999999998125,0.9929909682159621,-0.12036880259584715,5.844502757924186,0.9417052465912021,,
