kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
200,173.27195806924377,1,Lasso,3.7100297984104986e-09,1.0,0.6666666666666666,5.6415512560552054e-05
200,173.27195806924377,1,Ridge,0.4664775936831381,1.0,0.4,0.6325942403198774
200,139.42135356163854,2,EN_Fixed,0.01538782016975046,1.0,0.4444444444444444,0.08795541280320371
200,139.42135356163854,2,EN_Dynamic,1.577208275731233,1.0,0.5714285714285714,0.8904684643814677
200,139.42135356163854,2,OMP,6.1777669640120486e-30,1.0,1.0,1.7623403348162213e-15
200,139.42135356163854,2,Lasso,0.00027755187752640317,1.0,0.6666666666666666,0.011812616504176927
200,139.42135356163854,2,Ridge,0.39003643926213255,1.0,0.4,0.4428193719140803
200,175.39061570027854,3,EN_Fixed,0.00677979424639798,1.0,0.5,0.09927364078594497
200,175.39061570027854,3,EN_Dynamic,0.6879369155924001,0.0,0.0,1.0
200,175.39061570027854,3,OMP,1.828271370060025,0.25,0.25,1.6302192676564342
200,175.39061570027854,3,Lasso,0.0006506567716824234,1.0,0.5,0.030754004217184203
200,175.39061570027854,3,Ridge,0.24083180742452198,1.0,0.4,0.5916741766061723
200,72.15985427134599,4,EN_Fixed,9.294633028410804e-06,1.0,0.5714285714285714,0.0033588114095757893
200,72.15985427134599,4,EN_Dynamic,0.6794553399114484,1.0,0.6666666666666666,0.908134038369074
200,72.15985427134599,4,OMP,0.017090820611093058,0.75,0.75,0.1440293344528895
200,72.15985427134599,4,Lasso,1.988414012527571e-05,1.0,0.5714285714285714,0.004912730081294433
200,72.15985427134599,4,Ridge,0.4528455242708899,1.0,0.4,0.7413862647572789
200,187.1280272707422,5,EN_Fixed,0.7451495824237765,0.75,0.375,0.5637910284110477
200,187.1280272707422,5,EN_Dynamic,1.972581951160884,1.0,0.6666666666666666,0.9173054145392451
200,187.1280272707422,5,OMP,1.4266977372089769,0.5,0.5,0.780121802762993
200,187.1280272707422,5,Lasso,0.7354458810470265,0.75,0.375,0.5601080177216595
200,187.1280272707422,5,Ridge,1.3964270954351305,1.0,0.4,0.7718014017007306
200,146.12967122601927,6,EN_Fixed,7.787998386726199e-11,1.0,1.0,7.060133712228191e-06
200,146.12967122601927,6,EN_Dynamic,1.2507241350779776,1.0,0.5714285714285714,0.8947068554923835
200,146.12967122601927,6,OMP,0.11036168950587273,0.75,0.75,0.2657719665971599
200,146.12967122601927,6,Lasso,8.021246404839436e-11,1.0,1.0,7.16507810045256e-06
200,146.12967122601927,6,Ridge,0.6955235831609248,1.0,0.4,0.6671998345368949
200,116.90939935771594,7,EN_Fixed,0.001005307006242849,1.0,0.6666666666666666,0.029959038374558336
200,116.90939935771594,7,EN_Dynamic,1.0645590349232807,0.5,1.0,0.9749074511976392
200,116.90939935771594,7,OMP,3.2540512340366735e-31,1.0,1.0,5.390024110564685e-16
200,116.90939935771594,7,Lasso,0.0004074753847413135,1.0,0.6666666666666666,0.019073447745318203
200,116.90939935771594,7,Ridge,0.23937490443660997,1.0,0.4,0.46229353878516816
200,152.88602632910192,8,EN_Fixed,0.006207728623787274,1.0,0.5714285714285714,0.06807129531627143
200,152.88602632910192,8,EN_Dynamic,1.3302410352603558,0.25,0.5,0.9964667772202719
200,152.88602632910192,8,OMP,2.8975451736159714,0.5,0.5,1.4706616275643094
200,152.88602632910192,8,Lasso,5.5884708762520356e-09,1.0,0.8,6.458685674967374e-05
200,152.88602632910192,8,Ridge,0.47916169002885106,1.0,0.4,0.5980516559654877
200,136.05548596666426,9,EN_Fixed,0.012492351749402367,0.75,0.42857142857142855,0.09457107355808202
200,136.05548596666426,9,EN_Dynamic,1.2762409742873697,0.25,0.5,0.9558782038998622
200,136.05548596666426,9,OMP,0.012697521969959111,0.75,0.75,0.09534451270695196
200,136.05548596666426,9,Lasso,0.00035607483830610976,1.0,0.5714285714285714,0.01596639465411817
200,136.05548596666426,9,Ridge,0.18799217588632638,1.0,0.4,0.3668648509268449
200,115.37053483704491,10,EN_Fixed,0.025059176965020035,0.75,0.42857142857142855,0.11368068201527042
200,115.37053483704491,10,EN_Dynamic,1.5936464379808215,1.0,0.6666666666666666,0.9065656449273561
200,115.37053483704491,10,OMP,2.577297787062424,0.5,0.5,1.152883886755022
200,115.37053483704491,10,Lasso,0.024610398663337685,0.75,0.42857142857142855,0.11265814431534203
200,115.37053483704491,10,Ridge,0.8112149822702724,1.0,0.4,0.6468018455105604
