cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
30,11,HPP_sparseho,4,4,0.999999999975,0.9427122859427207,-0.09247485443878345,6.517906939582358,0.8957971491661112,9e-05,9.999999999999997e-06
30,11,EN_manual,3,4,0.74999999998125,0.9789662565773283,-0.1823457604969152,7.054093378915799,0.9694886406569672,9e-05,9.999999999999997e-06
30,11,Ridge,4,4,0.999999999975,0.975748853514745,-0.17248297957355274,6.995250204665359,0.9614014512831333,9e-05,9.999999999999997e-06
30,12,sparseho_EN,1,4,0.24999999999375,0.9842134150922779,-0.09487246119195047,5.711498842332469,0.9202747690437199,0.14741043362586584,0.016378937069540644
30,12,HPP_sparseho,3,4,0.74999999998125,0.9300299187011282,0.06478173613269023,4.878648628709881,0.7860803904493023,0.14741043362586584,0.016378937069540644
30,12,EN_manual,1,4,0.24999999999375,0.989581636903941,-0.11509764891679608,5.817005319452786,0.9372746759936902,0.14741043362586584,0.016378937069540644
30,12,Ridge,3,4,0.74999999998125,0.9929909682159621,-0.12036880259584715,5.844502757924186,0.9417052465912021,0.14741043362586584,0.016378937069540644
30,13,sparseho_EN,3,4,0.74999999998125,0.9655452221562938,-0.09803326062994966,6.745178980880335,0.9224031823557088,0.00020482613334673098,2.2758459260747882e-05
30,13,HPP_sparseho,4,4,0.999999999975,0.9827156867724613,-0.12600904709287586,6.917033234835327,0.9459042504813706,0.00020482613334673098,2.2758459260747882e-05
30,13,EN_manual,3,4,0.74999999998125,1.0000238099335947,-0.17821944670828205,7.237759849134022,0.9897636129288112,0.00020482613334673098,2.2758459260747882e-05
30,13,Ridge,4,4,0.999999999975,0.9965483520469904,-0.1747317991387387,7.21633535506605,0.9868338135024838,0.00020482613334673098,2.2758459260747882e-05
30,14,sparseho_EN,4,4,0.999999999975,0.9671822572025991,-0.1603978048384478,6.76763538460572,0.9577608816270948,0.0013894954943731374,0.012505459449358236
30,14,HPP_sparseho,4,4,0.999999999975,0.9490267460416539,-0.14235850793775207,6.662427167639511,0.9428717351365528,0.0013894954943731374,0.012505459449358236
30,14,EN_manual,2,4,0.4999999999875,0.9883245799431859,-0.1851090649846432,6.911755614639136,0.9781568856569642,0.0013894954943731374,0.012505459449358236
30,14,Ridge,4,4,0.999999999975,0.9803220097577532,-0.1774694033259585,6.867199821486006,0.9718513160884549,0.0013894954943731374,0.012505459449358236
100,0,sparseho_EN,4,4,0.999999999975,0.9849150207699237,-0.20184583295087544,3.9535798236562854,0.9813968280552532,0.0006105402296585328,0.0054948620669267945
100,0,HPP_sparseho,4,4,0.999999999975,0.9829797505215098,-0.1972813347031641,3.9385644966630076,0.977669574543071,0.0006105402296585328,0.0054948620669267945
