src_type,sparsity,noise_level,run_id,method,track,m,n,n_zero_cols,mse,support_recall,support_precision,rel_err,smooth_err,corr,obs_mse,unobs_mse,obs_relerr,unobs_relerr,unobs_true_norm,unobs_est_norm
pure_sparse,0.8723221286723943,0.05,5,EN,phits,8,12,5,0.5646216853854443,0.5,1.0,0.9129121876134206,0.2980896811589997,0.4082372719519192,7.703873465353607e-05,1.3549841906965514,0.019950351065234916,1.0,2.6028678325037475,0.0
pure_sparse,0.8723221286723943,0.05,5,Lasso,phits,8,12,5,0.5645772655565863,0.5,1.0,0.9128762766647442,0.27736410588580385,0.40823727195191917,8.904566112792504e-07,1.3549841906965514,0.002144876807455,1.0,2.6028678325037475,0.0
pure_sparse,0.8723221286723943,0.05,5,Ridge,phits,8,12,5,11333127.646159338,0.5,0.14285714285714285,4090.0170475102154,0.2648705967823859,4.109738185806088e-05,19428217.85414159,1.3549841906965514,10018.724958843924,1.0,2.6028678325037475,0.0
pure_sparse,0.8723221286723943,0.05,5,OMP,phits,8,12,5,17080956.683891762,0.5,0.25,5021.1861670479775,0.26338919767241475,3.3518194203389765e-05,29281639.061682887,1.3549841906965514,12299.675774476415,1.0,2.6028678325037475,0.0
pure_sparse,0.6496262874432642,0.05,6,EN,phits,8,12,5,180877.93951629385,0.6,1.0,368.36350332894153,737.1240558119054,0.7011818406486741,310076.3951966711,0.10156376573512937,374.3535832293029,1.0,0.7126140811657085,0.0
pure_sparse,0.6496262874432642,0.05,6,Lasso,phits,8,12,5,0.8285001503619992,0.2,1.0,0.7883699996531088,1.265881913214789,0.6152335901893007,1.3477404250954774,0.10156376573512937,0.7804602141666692,1.0,0.7126140811657085,0.0
pure_sparse,0.6496262874432642,0.05,6,Ridge,phits,8,12,5,26744572.241954606,0.8,0.5714285714285714,4479.2120383103775,9319.362125229838,-0.19048718043909194,45847838.05651949,0.10156376573512937,4552.050505162715,1.0,0.7126140811657085,0.0
pure_sparse,0.6496262874432642,0.05,6,OMP,phits,8,12,5,23956939.31513286,0.6,0.75,4239.351822563566,9182.517004622241,-0.1578587732943951,41069038.75339651,0.10156376573512937,4308.289814957233,1.0,0.7126140811657085,0.0
pure_sparse,0.8146235041520389,0.05,7,EN,phits,8,12,5,1495.8999172163112,0.3333333333333333,0.3333333333333333,77.94941558241482,0.8513665695571888,0.005338053458236559,2564.317266345059,0.11562843606455175,86.9150740522586,1.0,0.7603566139139968,0.0
pure_sparse,0.8146235041520389,0.05,7,Lasso,phits,8,12,5,3417.869294539096,0.6666666666666666,0.6666666666666666,117.82550766330553,0.6643097461284811,0.004780727350892248,5859.121913184118,0.11562843606455175,131.37886134763465,1.0,0.7603566139139968,0.0
