kappa_target,kappa_actual,src_type,sparsity,noise_level,run_id,method,track,m,n,mse,support_recall,support_precision,rel_err,smooth_err,corr
50,24.2105513920317,mixed,0.8960777373050633,0.0,0,Ridge,simulation,8,10,0.2641003312498212,1.0,0.2,0.7321070233451986,0.5191564553089649,0.6859264418125683
50,24.2105513920317,mixed,0.8960777373050633,0.0,0,OMP,simulation,8,10,1.0389795759401586,0.0,0.0,1.4520902367735486,0.8805642145275472,0.0
50,32.69001137382038,mixed,0.8862713840857177,0.0,1,EN,simulation,8,10,1.5173358424140071e-06,1.0,0.6666666666666666,0.0012474884397277888,0.0004221826304824372,0.9999993342882498
50,32.69001137382038,mixed,0.8862713840857177,0.0,1,Lasso,simulation,8,10,2.2150062272684415e-06,1.0,0.6666666666666666,0.0015072425542473472,0.00047431315297807863,0.9999990215757885
50,32.69001137382038,mixed,0.8862713840857177,0.0,1,Ridge,simulation,8,10,0.08776791983529567,1.0,0.2,0.3000292345862489,0.10977600642775398,0.9554334910034673
50,32.69001137382038,mixed,0.8862713840857177,0.0,1,OMP,simulation,8,10,7.888609052210118e-32,1.0,1.0,2.844434176664721e-16,8.881784197001252e-16,1.0
50,18.823419581604266,mixed,0.70203573502628,0.0,2,EN,simulation,8,10,3.204353321609687e-08,1.0,0.75,0.0002204040447866871,7.906537329160912e-05,0.9999999889757514
50,18.823419581604266,mixed,0.70203573502628,0.0,2,Lasso,simulation,8,10,3.370297608616098e-08,1.0,0.75,0.0002260390576516752,9.092113190745099e-05,0.9999999888200559
50,18.823419581604266,mixed,0.70203573502628,0.0,2,Ridge,simulation,8,10,0.03332977427786589,1.0,0.3,0.22478407920621207,0.07175246292895332,0.9747595619075691
50,18.823419581604266,mixed,0.70203573502628,0.0,2,OMP,simulation,8,10,8.874685183736383e-32,1.0,1.0,3.667970549198718e-16,5.551115123125783e-16,0.9999999999999999
50,32.58250748940127,mixed,0.7524362176286328,0.0,3,EN,simulation,8,10,6.020706857086343e-07,1.0,0.6,0.0007573860437284788,0.002978515559664885,0.9999997858172641
50,32.58250748940127,mixed,0.7524362176286328,0.0,3,Lasso,simulation,8,10,4.916794910497726e-08,1.0,1.0,0.00021643854397689286,0.0005917619049042866,0.9999999924788582
50,32.58250748940127,mixed,0.7524362176286328,0.0,3,Ridge,simulation,8,10,0.055596373512779754,1.0,0.3,0.23015307884820588,0.3035022561011653,0.9733721997806245
50,32.58250748940127,mixed,0.7524362176286328,0.0,3,OMP,simulation,8,10,0.5863146044127739,0.3333333333333333,0.25,0.7474100152134946,2.42177064531816,0.8420301067543658
50,21.173437845390044,mixed,0.8110125092149737,0.0,4,EN,simulation,8,10,1.878708731893711e-06,1.0,0.6666666666666666,0.0011018722569187637,0.00017662979771371212,0.9999995536176922
50,21.173437845390044,mixed,0.8110125092149737,0.0,4,Lasso,simulation,8,10,8.105082782819151e-07,1.0,0.4,0.0007237361220130271,0.0025897551957996257,0.9999998779198173
50,21.173437845390044,mixed,0.8110125092149737,0.0,4,Ridge,simulation,8,10,2.1319965257262767,1.0,0.2,1.1738017910531378,0.8157615508214668,0.5529130350561601
50,21.173437845390044,mixed,0.8110125092149737,0.0,4,OMP,simulation,8,10,7.888609052210118e-32,1.0,1.0,2.257884583752923e-16,8.881784197001252e-16,1.0
50,36.097088370925235,mixed,0.7894287897292892,0.0,5,EN,simulation,8,10,2.6610354815039036e-06,1.0,0.5,0.0021881803813997066,0.0036536288616164647,0.9999988362259203
50,36.097088370925235,mixed,0.7894287897292892,0.0,5,Lasso,simulation,8,10,5.168803565209105e-06,1.0,0.6,0.003049669673527047,0.005091685929605683,0.9999976717864405
50,36.097088370925235,mixed,0.7894287897292892,0.0,5,Ridge,simulation,8,10,0.09366096633586393,1.0,0.3,0.4105226317668103,0.3450649586991012,0.913091750441114
50,36.097088370925235,mixed,0.7894287897292892,0.0,5,OMP,simulation,8,10,3.1208115459921767e-31,1.0,1.0,7.493618153378198e-16,7.771561172376096e-16,1.0
50,49.431999430123646,mixed,0.6124393684691606,0.0,6,EN,simulation,8,10,1.9481284630227904e-05,1.0,0.8,0.0035490636107337148,0.0037485698788169617,0.9999952672784809
50,49.431999430123646,mixed,0.6124393684691606,0.0,6,Lasso,simulation,8,10,0.0003712802003479182,1.0,0.5714285714285714,0.015493726394764333,0.03244041240711041,0.9999348279655419
50,49.431999430123646,mixed,0.6124393684691606,0.0,6,Ridge,simulation,8,10,0.1606152129265875,1.0,0.4,0.3222540071921173,0.22073123846513312,0.9537374184170155
50,49.431999430123646,mixed,0.6124393684691606,0.0,6,OMP,simulation,8,10,0.3206059271490947,0.75,0.75,0.45529277762650433,0.4977567013145219,0.8962209392246878
50,35.933971239091925,mixed,0.740372568674884,0.0,7,EN,simulation,8,10,0.5944597006745611,1.0,0.3,0.5401819687517259,1.4077255922700544,0.8822933917051127
50,35.933971239091925,mixed,0.740372568674884,0.0,7,Lasso,simulation,8,10,0.5357543671179336,1.0,0.3,0.5128161974370751,1.4939100637714438,0.898835968134235
50,35.933971239091925,mixed,0.740372568674884,0.0,7,Ridge,simulation,8,10,1.147260852200923,1.0,0.3,0.7504296091840896,0.7978324233584466,0.6790032688351171
50,35.933971239091925,mixed,0.740372568674884,0.0,7,OMP,simulation,8,10,1.6919169948665087,0.6666666666666666,0.5,0.9113147520466789,0.11482568446618002,0.46095152576145015
50,17.281871095181486,mixed,0.8076246211457785,0.0,8,EN,simulation,8,10,3.6492136404329746e-09,1.0,0.6666666666666666,7.44425075431655e-05,5.28370828201119e-06,0.9999999998026434
